Time_Sec,diff_PT,diff_AST,diff_RB,diff_ORB,diff_DRB,diff_ST,diff_BLK,diff_TO,diff_PF,diff_Tech,diff_PTA,Home_Leading
0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,2,0
21,0,0,-1,0,-1,0,0,0,0,0,2,0
31,0,0,-1,0,-1,0,1,0,0,0,0,0
35,0,0,-2,-1,-1,0,1,0,0,0,0,0
35,-3,-1,-2,-1,-1,0,1,0,0,0,-3,0
52,-1,0,-2,-1,-1,0,1,0,0,0,-1,0
69,-4,-1,-2,-1,-1,0,1,0,0,0,-4,0
79,-4,-1,-2,-1,-1,-1,1,1,0,0,-4,0
83,-4,-1,-2,-1,-1,-1,1,1,1,0,-4,0
83,-5,-1,-2,-1,-1,-1,1,1,1,0,-5,0
83,-6,-1,-2,-1,-1,-1,1,1,1,0,-6,0
101,-6,-1,-2,-1,-1,-1,1,1,1,0,-3,0
104,-6,-1,-3,-1,-2,-1,1,1,1,0,-3,0
113,-9,-2,-3,-1,-2,-1,1,1,1,0,-6,0
114,-9,-2,-3,-1,-2,-1,1,1,1,0,-6,0
133,-9,-2,-3,-1,-2,-1,1,2,1,0,-6,0
147,-9,-2,-3,-1,-2,-1,1,2,1,0,-8,0
149,-9,-2,-2,-1,-1,-1,1,2,1,0,-8,0
155,-9,-2,-2,-1,-1,-1,1,3,1,0,-8,0
165,-9,-2,-2,-1,-1,-1,1,3,1,0,-10,0
166,-9,-2,-3,-2,-1,-1,1,3,1,0,-10,0
172,-9,-2,-3,-2,-1,-1,1,3,1,0,-12,0
173,-9,-2,-2,-2,0,-1,1,3,1,0,-12,0
183,-9,-2,-2,-2,0,-1,0,3,1,0,-10,0
183,-9,-2,-3,-2,-1,-1,0,3,1,0,-10,0
199,-11,-2,-3,-2,-1,-1,0,3,1,0,-12,0
211,-11,-2,-3,-2,-1,-1,0,3,1,0,-9,0
215,-11,-2,-4,-2,-2,-1,0,3,1,0,-9,0
227,-11,-2,-4,-2,-2,-1,0,3,1,0,-12,0
